Error Code,Module,Severity,Type,Message Template (EN),Business Area,Technical Area
ERR.CORE.LOG_MASTER.CREATE.FAILED,LOG_MASTER,HIGH,System,Failed to create log master: {errorMessage},Logging,Log Master Service
ERR.CORE.LOG_MASTER.CREATE.DUPLICATE_CODE,LOG_MASTER,MEDIUM,Business,Log code {logCode} already exists,Logging,Log Master Service
ERR.CORE.LOG_MASTER.UPDATE.NOT_FOUND,LOG_MASTER,MEDIUM,Business,Log master with ID {logMasterId} not found,Logging,Log Master Service
ERR.CORE.LOG_MASTER.UPDATE.FAILED,LOG_MASTER,HIGH,System,Failed to update log master {logMasterId}: {errorMessage},Logging,Log Master Service
ERR.CORE.LOG_MASTER.DELETE.NOT_FOUND,LOG_MASTER,MEDIUM,Business,Log master with ID {logMasterId} not found,Logging,Log Master Service
ERR.CORE.LOG_MASTER.DELETE.IN_USE,LOG_MASTER,HIGH,Business,Cannot delete log master {logCode} as it has {transactionCount} associated transactions,Logging,Log Master Service
ERR.CORE.LOG_MASTER.DELETE.FAILED,LOG_MASTER,HIGH,System,Failed to delete log master {logMasterId}: {errorMessage},Logging,Log Master Service
ERR.CORE.LOG_MASTER.GET.NOT_FOUND,LOG_MASTER,LOW,Business,Log master with ID {logMasterId} not found,Logging,Log Master Service
ERR.CORE.LOG_MASTER.LIST.FAILED,LOG_MASTER,MEDIUM,System,Failed to retrieve log masters list: {errorMessage},Logging,Log Master Service
ERR.CORE.LOG_TRANSACTION.CREATE.FAILED,LOG_TRANSACTION,HIGH,System,Failed to create log transaction: {errorMessage},Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.CREATE.INVALID_LOG_CODE,LOG_TRANSACTION,MEDIUM,Business,Log code {logCode} does not exist in log master,Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.CREATE.INVALID_ACTOR,LOG_TRANSACTION,MEDIUM,Business,Actor user with ID {actorUserId} does not exist,Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.UPDATE.NOT_FOUND,LOG_TRANSACTION,MEDIUM,Business,Log transaction with ID {transactionId} not found,Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.UPDATE.FAILED,LOG_TRANSACTION,MEDIUM,System,Failed to update log transaction {transactionId}: {errorMessage},Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.DELETE.NOT_FOUND,LOG_TRANSACTION,MEDIUM,Business,Log transaction with ID {transactionId} not found,Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.DELETE.FAILED,LOG_TRANSACTION,MEDIUM,System,Failed to delete log transaction {transactionId}: {errorMessage},Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.GET.NOT_FOUND,LOG_TRANSACTION,LOW,Business,Log transaction with ID {transactionId} not found,Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.SEARCH.FAILED,LOG_TRANSACTION,MEDIUM,System,Failed to search log transactions: {errorMessage},Logging,Log Transaction Service
ERR.CORE.LOG_TRANSACTION.EXPORT.FAILED,LOG_TRANSACTION,HIGH,System,Failed to export log transactions: {errorMessage},Logging,Log Transaction Service
ERR.CORE.PROMPT.CREATE.FAILED,PROMPT,HIGH,System,Failed to create prompt: {errorMessage},AI/ML,Prompt Service
ERR.CORE.PROMPT.CREATE.DUPLICATE,PROMPT,MEDIUM,Business,Prompt with name {name} and type {type} already exists,AI/ML,Prompt Service
ERR.CORE.PROMPT.CREATE.INVALID_CREATOR,PROMPT,MEDIUM,Business,Creator with ID {createdBy} does not exist,AI/ML,Prompt Service
ERR.CORE.PROMPT.UPDATE.NOT_FOUND,PROMPT,MEDIUM,Business,Prompt with ID {promptId} not found,AI/ML,Prompt Service
ERR.CORE.PROMPT.UPDATE.FAILED,PROMPT,HIGH,System,Failed to update prompt {promptId}: {errorMessage},AI/ML,Prompt Service
ERR.CORE.PROMPT.UPDATE.DUPLICATE,PROMPT,MEDIUM,Business,Another prompt with name {name} and type {type} already exists,AI/ML,Prompt Service
ERR.CORE.PROMPT.DELETE.NOT_FOUND,PROMPT,MEDIUM,Business,Prompt with ID {promptId} not found,AI/ML,Prompt Service
ERR.CORE.PROMPT.DELETE.IN_USE,PROMPT,HIGH,Business,Cannot delete prompt {promptId} as it has {executionCount} associated executions,AI/ML,Prompt Service
ERR.CORE.PROMPT.DELETE.FAILED,PROMPT,HIGH,System,Failed to delete prompt {promptId}: {errorMessage},AI/ML,Prompt Service
ERR.CORE.PROMPT.GET.NOT_FOUND,PROMPT,LOW,Business,Prompt with ID {promptId} not found,AI/ML,Prompt Service
ERR.CORE.PROMPT.LIST.FAILED,PROMPT,MEDIUM,System,Failed to retrieve prompts list: {errorMessage},AI/ML,Prompt Service
ERR.CORE.PROMPT.RESTORE.NOT_FOUND,PROMPT,MEDIUM,Business,Deleted prompt with ID {promptId} not found,AI/ML,Prompt Service
ERR.CORE.PROMPT.RESTORE.FAILED,PROMPT,HIGH,System,Failed to restore prompt {promptId}: {errorMessage},AI/ML,Prompt Service
ERR.CORE.PROMPT_EXEC.CREATE.FAILED,PROMPT_EXECUTION,HIGH,System,Failed to create prompt execution: {errorMessage},AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.CREATE.INVALID_PROMPT,PROMPT_EXECUTION,MEDIUM,Business,Prompt with ID {promptId} does not exist,AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.CREATE.INVALID_USER,PROMPT_EXECUTION,MEDIUM,Business,User with ID {userId} does not exist,AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.UPDATE.NOT_FOUND,PROMPT_EXECUTION,MEDIUM,Business,Prompt execution with ID {executionId} not found,AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.UPDATE.FAILED,PROMPT_EXECUTION,HIGH,System,Failed to update prompt execution {executionId}: {errorMessage},AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.DELETE.NOT_FOUND,PROMPT_EXECUTION,MEDIUM,Business,Prompt execution with ID {executionId} not found,AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.DELETE.FAILED,PROMPT_EXECUTION,HIGH,System,Failed to delete prompt execution {executionId}: {errorMessage},AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.GET.NOT_FOUND,PROMPT_EXECUTION,LOW,Business,Prompt execution with ID {executionId} not found,AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.LIST.FAILED,PROMPT_EXECUTION,MEDIUM,System,Failed to retrieve prompt executions list: {errorMessage},AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.EXECUTE.FAILED,PROMPT_EXECUTION,HIGH,System,Failed to execute prompt {promptId}: {errorMessage},AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.EXECUTE.TIMEOUT,PROMPT_EXECUTION,HIGH,System,Prompt execution {executionId} timed out after {timeoutSeconds} seconds,AI/ML,Prompt Execution Service
ERR.CORE.PROMPT_EXEC.EXECUTE.TOKEN_LIMIT,PROMPT_EXECUTION,MEDIUM,Business,Prompt execution exceeded token limit: {tokenCount} tokens used,AI/ML,Prompt Execution Service
ERR.CORE.MODULE.CREATE.FAILED,MODULE,HIGH,System,Failed to create module: {errorMessage},Access Control,Module Service
ERR.CORE.MODULE.CREATE.DUPLICATE_NAME,MODULE,MEDIUM,Business,Module with name {name} already exists,Access Control,Module Service
ERR.CORE.MODULE.CREATE.DUPLICATE_SHORT_CODE,MODULE,MEDIUM,Business,Module with short code {shortCode} already exists,Access Control,Module Service
ERR.CORE.MODULE.UPDATE.NOT_FOUND,MODULE,MEDIUM,Business,Module with ID {moduleId} not found,Access Control,Module Service
ERR.CORE.MODULE.UPDATE.FAILED,MODULE,HIGH,System,Failed to update module {moduleId}: {errorMessage},Access Control,Module Service
ERR.CORE.MODULE.UPDATE.DUPLICATE_NAME,MODULE,MEDIUM,Business,Another module with name {name} already exists,Access Control,Module Service
ERR.CORE.MODULE.UPDATE.DUPLICATE_SHORT_CODE,MODULE,MEDIUM,Business,Another module with short code {shortCode} already exists,Access Control,Module Service
ERR.CORE.MODULE.DELETE.NOT_FOUND,MODULE,MEDIUM,Business,Module with ID {moduleId} not found,Access Control,Module Service
ERR.CORE.MODULE.DELETE.IN_USE,MODULE,HIGH,Business,Cannot delete module {moduleId} as it has {mappingCount} permission mappings,Access Control,Module Service
ERR.CORE.MODULE.DELETE.HAS_HIERARCHY,MODULE,HIGH,Business,Cannot delete module {moduleId} as it has child modules in hierarchy,Access Control,Module Service
ERR.CORE.MODULE.DELETE.FAILED,MODULE,HIGH,System,Failed to delete module {moduleId}: {errorMessage},Access Control,Module Service
ERR.CORE.MODULE.GET.NOT_FOUND,MODULE,LOW,Business,Module with ID {moduleId} not found,Access Control,Module Service
ERR.CORE.MODULE.LIST.FAILED,MODULE,MEDIUM,System,Failed to retrieve modules list: {errorMessage},Access Control,Module Service
ERR.CORE.MODULE.BULK_CREATE.PARTIAL_FAILURE,MODULE,MEDIUM,Business,Bulk create completed with {failureCount} failures out of {totalCount},Access Control,Module Service
ERR.CORE.JOB.CREATE.FAILED,JOB,HIGH,System,Failed to create job: {errorMessage},Access Control,Job Service
ERR.CORE.JOB.CREATE.DUPLICATE_NAME,JOB,MEDIUM,Business,Job with name {name} already exists,Access Control,Job Service
ERR.CORE.JOB.CREATE.DUPLICATE_SHORT_CODE,JOB,MEDIUM,Business,Job with short code {shortCode} already exists,Access Control,Job Service
ERR.CORE.JOB.UPDATE.NOT_FOUND,JOB,MEDIUM,Business,Job with ID {jobId} not found,Access Control,Job Service
ERR.CORE.JOB.UPDATE.FAILED,JOB,HIGH,System,Failed to update job {jobId}: {errorMessage},Access Control,Job Service
ERR.CORE.JOB.UPDATE.DUPLICATE_NAME,JOB,MEDIUM,Business,Another job with name {name} already exists,Access Control,Job Service
ERR.CORE.JOB.UPDATE.DUPLICATE_SHORT_CODE,JOB,MEDIUM,Business,Another job with short code {shortCode} already exists,Access Control,Job Service
ERR.CORE.JOB.DELETE.NOT_FOUND,JOB,MEDIUM,Business,Job with ID {jobId} not found,Access Control,Job Service
ERR.CORE.JOB.DELETE.IN_USE,JOB,HIGH,Business,Cannot delete job {jobId} as it has {mappingCount} permission mappings,Access Control,Job Service
ERR.CORE.JOB.DELETE.FAILED,JOB,HIGH,System,Failed to delete job {jobId}: {errorMessage},Access Control,Job Service
ERR.CORE.JOB.GET.NOT_FOUND,JOB,LOW,Business,Job with ID {jobId} not found,Access Control,Job Service
ERR.CORE.JOB.LIST.FAILED,JOB,MEDIUM,System,Failed to retrieve jobs list: {errorMessage},Access Control,Job Service
ERR.CORE.JOB.BULK_CREATE.PARTIAL_FAILURE,JOB,MEDIUM,Business,Bulk create completed with {failureCount} failures out of {totalCount},Access Control,Job Service
ERR.CORE.ROLE.CREATE.FAILED,ROLE,HIGH,System,Failed to create role: {errorMessage},Access Control,Role Service
ERR.CORE.ROLE.CREATE.DUPLICATE_NAME,ROLE,MEDIUM,Business,Role with name {name} already exists,Access Control,Role Service
ERR.CORE.ROLE.CREATE.DUPLICATE_SHORT_CODE,ROLE,MEDIUM,Business,Role with short code {shortCode} already exists,Access Control,Role Service
ERR.CORE.ROLE.CREATE.INVALID_MODULE,ROLE,MEDIUM,Business,Module with ID {moduleId} in permissions does not exist,Access Control,Role Service
ERR.CORE.ROLE.CREATE.INVALID_JOB,ROLE,MEDIUM,Business,Job with name {jobName} in permissions does not exist,Access Control,Role Service
ERR.CORE.ROLE.CREATE.INVALID_PERMISSION,ROLE,MEDIUM,Business,Permission with name {permissionName} does not exist,Access Control,Role Service
ERR.CORE.ROLE.UPDATE.NOT_FOUND,ROLE,MEDIUM,Business,Role with ID {roleId} not found,Access Control,Role Service
ERR.CORE.ROLE.UPDATE.FAILED,ROLE,HIGH,System,Failed to update role {roleId}: {errorMessage},Access Control,Role Service
ERR.CORE.ROLE.UPDATE.DUPLICATE_NAME,ROLE,MEDIUM,Business,Another role with name {name} already exists,Access Control,Role Service
ERR.CORE.ROLE.UPDATE.DUPLICATE_SHORT_CODE,ROLE,MEDIUM,Business,Another role with short code {shortCode} already exists,Access Control,Role Service
ERR.CORE.ROLE.DELETE.NOT_FOUND,ROLE,MEDIUM,Business,Role with ID {roleId} not found,Access Control,Role Service
ERR.CORE.ROLE.DELETE.IN_USE,ROLE,HIGH,Business,Cannot delete role {roleId} as it is assigned to {userCount} users,Access Control,Role Service
ERR.CORE.ROLE.DELETE.FAILED,ROLE,HIGH,System,Failed to delete role {roleId}: {errorMessage},Access Control,Role Service
ERR.CORE.ROLE.GET.NOT_FOUND,ROLE,LOW,Business,Role with ID {roleId} not found,Access Control,Role Service
ERR.CORE.ROLE.LIST.FAILED,ROLE,MEDIUM,System,Failed to retrieve roles list: {errorMessage},Access Control,Role Service
ERR.CORE.PERMISSION.CREATE.FAILED,PERMISSION,HIGH,System,Failed to create permission: {errorMessage},Access Control,Permission Service
ERR.CORE.PERMISSION.CREATE.DUPLICATE_NAME,PERMISSION,MEDIUM,Business,Permission with name {name} already exists,Access Control,Permission Service
ERR.CORE.PERMISSION.CREATE.DUPLICATE_SHORT_CODE,PERMISSION,MEDIUM,Business,Permission with short code {shortCode} already exists,Access Control,Permission Service
ERR.CORE.PERMISSION.UPDATE.NOT_FOUND,PERMISSION,MEDIUM,Business,Permission with ID {permissionId} not found,Access Control,Permission Service
ERR.CORE.PERMISSION.UPDATE.FAILED,PERMISSION,HIGH,System,Failed to update permission {permissionId}: {errorMessage},Access Control,Permission Service
ERR.CORE.PERMISSION.UPDATE.DUPLICATE_NAME,PERMISSION,MEDIUM,Business,Another permission with name {name} already exists,Access Control,Permission Service
ERR.CORE.PERMISSION.UPDATE.DUPLICATE_SHORT_CODE,PERMISSION,MEDIUM,Business,Another permission with short code {shortCode} already exists,Access Control,Permission Service
ERR.CORE.PERMISSION.DELETE.NOT_FOUND,PERMISSION,MEDIUM,Business,Permission with ID {permissionId} not found,Access Control,Permission Service
ERR.CORE.PERMISSION.DELETE.IN_USE,PERMISSION,HIGH,Business,Cannot delete permission {permissionId} as it has {mappingCount} permission mappings,Access Control,Permission Service
ERR.CORE.PERMISSION.DELETE.FAILED,PERMISSION,HIGH,System,Failed to delete permission {permissionId}: {errorMessage},Access Control,Permission Service
ERR.CORE.PERMISSION.GET.NOT_FOUND,PERMISSION,LOW,Business,Permission with ID {permissionId} not found,Access Control,Permission Service
ERR.CORE.PERMISSION.LIST.FAILED,PERMISSION,MEDIUM,System,Failed to retrieve permissions list: {errorMessage},Access Control,Permission Service
ERR.CORE.PERMISSION.BULK_CREATE.PARTIAL_FAILURE,PERMISSION,MEDIUM,Business,Bulk create completed with {failureCount} failures out of {totalCount},Access Control,Permission Service
ERR.CORE.PERM_MAPPING.CREATE.FAILED,PERMISSION_MAPPING,HIGH,System,Failed to create permission mapping: {errorMessage},Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.CREATE.DUPLICATE,PERMISSION_MAPPING,MEDIUM,Business,Permission mapping for module {moduleId} job {jobId} permission {permissionId} already exists,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.CREATE.INVALID_MODULE,PERMISSION_MAPPING,MEDIUM,Business,Module with ID {moduleId} does not exist,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.CREATE.INVALID_JOB,PERMISSION_MAPPING,MEDIUM,Business,Job with ID {jobId} does not exist,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.CREATE.INVALID_PERMISSION,PERMISSION_MAPPING,MEDIUM,Business,Permission with ID {permissionId} does not exist,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.UPDATE.NOT_FOUND,PERMISSION_MAPPING,MEDIUM,Business,Permission mapping with ID {mappingId} not found,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.UPDATE.FAILED,PERMISSION_MAPPING,HIGH,System,Failed to update permission mapping {mappingId}: {errorMessage},Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.UPDATE.DUPLICATE,PERMISSION_MAPPING,MEDIUM,Business,Another permission mapping for this module job permission combination already exists,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.DELETE.NOT_FOUND,PERMISSION_MAPPING,MEDIUM,Business,Permission mapping with ID {mappingId} not found,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.DELETE.IN_USE,PERMISSION_MAPPING,HIGH,Business,Cannot delete permission mapping {mappingId} as it is used in {roleCount} roles,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.DELETE.FAILED,PERMISSION_MAPPING,HIGH,System,Failed to delete permission mapping {mappingId}: {errorMessage},Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.GET.NOT_FOUND,PERMISSION_MAPPING,LOW,Business,Permission mapping with ID {mappingId} not found,Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.LIST.FAILED,PERMISSION_MAPPING,MEDIUM,System,Failed to retrieve permission mappings list: {errorMessage},Access Control,Permission Mapping Service
ERR.CORE.PERM_MAPPING.BULK_CREATE.PARTIAL_FAILURE,PERMISSION_MAPPING,MEDIUM,Business,Bulk create completed with {failureCount} failures out of {totalCount},Access Control,Permission Mapping Service
ERR.CORE.USER_MAPPING.CREATE.FAILED,USER_ROLE_PERMISSION,HIGH,System,Failed to create user role mapping: {errorMessage},Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.DUPLICATE,USER_ROLE_PERMISSION,MEDIUM,Business,User mapping for role {roleId} user {userId} unit {unitId} already exists,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_ROLE,USER_ROLE_PERMISSION,MEDIUM,Business,Role with ID {roleId} does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_USER,USER_ROLE_PERMISSION,MEDIUM,Business,User with ID {userId} does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_UNIT,USER_ROLE_PERMISSION,MEDIUM,Business,Unit with ID {unitId} does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.USER_NO_UNIT,USER_ROLE_PERMISSION,MEDIUM,Business,User {userId} does not have an assigned unit,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.USER_NO_RANK,USER_ROLE_PERMISSION,MEDIUM,Business,User {userId} does not have an assigned rank,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_ADD_MODULE,USER_ROLE_PERMISSION,MEDIUM,Business,Module {moduleId} in additional permissions does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_ADD_JOB,USER_ROLE_PERMISSION,MEDIUM,Business,Job {jobName} in additional permissions does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_ADD_PERMISSION,USER_ROLE_PERMISSION,MEDIUM,Business,Permission {permissionName} in additional permissions does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CREATE.INVALID_EXCL_PERMISSION,USER_ROLE_PERMISSION,MEDIUM,Business,Permission {permissionName} in exclusion permissions does not exist,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.UPDATE.NOT_FOUND,USER_ROLE_PERMISSION,MEDIUM,Business,User mapping with ID {mappingId} not found,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.UPDATE.FAILED,USER_ROLE_PERMISSION,HIGH,System,Failed to update user mapping {mappingId}: {errorMessage},Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.UPDATE.DUPLICATE,USER_ROLE_PERMISSION,MEDIUM,Business,Another user mapping for this role user unit combination already exists,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.DELETE.NOT_FOUND,USER_ROLE_PERMISSION,MEDIUM,Business,User mapping with ID {mappingId} not found,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.DELETE.FAILED,USER_ROLE_PERMISSION,HIGH,System,Failed to delete user mapping {mappingId}: {errorMessage},Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.GET.NOT_FOUND,USER_ROLE_PERMISSION,LOW,Business,User mapping with ID {mappingId} not found,Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.LIST.FAILED,USER_ROLE_PERMISSION,MEDIUM,System,Failed to retrieve user mappings list: {errorMessage},Access Control,User Mapping Service
ERR.CORE.USER_MAPPING.CONSOLIDATE.FAILED,USER_ROLE_PERMISSION,HIGH,System,Failed to consolidate permissions for user {userId}: {errorMessage},Access Control,User Mapping Service
ERR.CORE.MOD_HIERARCHY.CREATE.FAILED,MODULE_HIERARCHY,HIGH,System,Failed to create module hierarchy: {errorMessage},Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.CREATE.INVALID_PARENT,MODULE_HIERARCHY,MEDIUM,Business,Parent module with ID {parentModuleId} does not exist,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.CREATE.INVALID_CHILD,MODULE_HIERARCHY,MEDIUM,Business,Child module with ID {childModuleId} does not exist,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.CREATE.DUPLICATE,MODULE_HIERARCHY,MEDIUM,Business,Hierarchy relationship between parent {parentModuleId} and child {childModuleId} already exists,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.CREATE.CIRCULAR,MODULE_HIERARCHY,HIGH,Business,Circular hierarchy detected: Module {moduleId} cannot be its own ancestor,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.CREATE.SELF_REFERENCE,MODULE_HIERARCHY,MEDIUM,Business,Module {moduleId} cannot be its own parent,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.UPDATE.NOT_FOUND,MODULE_HIERARCHY,MEDIUM,Business,Module hierarchy with ID {hierarchyId} not found,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.UPDATE.FAILED,MODULE_HIERARCHY,HIGH,System,Failed to update module hierarchy {hierarchyId}: {errorMessage},Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.UPDATE.CIRCULAR,MODULE_HIERARCHY,HIGH,Business,Update would create circular hierarchy for module {moduleId},Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.DELETE.NOT_FOUND,MODULE_HIERARCHY,MEDIUM,Business,Module hierarchy with ID {hierarchyId} not found,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.DELETE.FAILED,MODULE_HIERARCHY,HIGH,System,Failed to delete module hierarchy {hierarchyId}: {errorMessage},Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.GET.NOT_FOUND,MODULE_HIERARCHY,LOW,Business,Module hierarchy with ID {hierarchyId} not found,Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.LIST.FAILED,MODULE_HIERARCHY,MEDIUM,System,Failed to retrieve module hierarchy list: {errorMessage},Access Control,Module Hierarchy Service
ERR.CORE.MOD_HIERARCHY.TREE.BUILD_FAILED,MODULE_HIERARCHY,HIGH,System,Failed to build module hierarchy tree: {errorMessage},Access Control,Module Hierarchy Service
ERR.CORE.APPROVAL_FLOW.NOT_FOUND,Approval Flow,high,business,Approval flow master not found,,
ERR.CORE.APPROVAL_FLOW.ALREADY_ACTIVE,Approval Flow,medium,business,Approval flow master is already active,,
ERR.CORE.APPROVAL_CHAIN.NOT_FOUND,Approval Chain,high,business,Approval chain not found,,
ERR.CORE.APPROVAL_CHAIN.ALREADY_ACTIVE,Approval Chain,medium,business,Approval chain is already active,,
